模型,准确率,精确率,召回率,F1分数,AUC值,交叉验证平均分
Random Forest,0.9615658362989323,0.9639509875036001,0.9615658362989323,0.9608392070267446,0.989860121224986,0.9649688149688149
SVM,0.9622775800711744,0.964817971756343,0.9622775800711744,0.9615483393237547,0.9905716722335937,0.965538412906834
Logistic Regression,0.9608540925266904,0.9624415826477051,0.9608540925266904,0.9602280288754727,0.9920981393214068,0.9635441109125319
Naive Bayes,0.9622775800711744,0.964817971756343,0.9622775800711744,0.9615483393237547,0.9911214059858567,0.965538412906834
